recipe_id,recipe_name,image_file,image_prompt
recipe_001,南瓜小米粥,recipe_001.png,卡通手绘宝宝食谱插画，一碗南瓜小米粥，奶油白背景，柔和暖色调，小碗和小勺，旁边点缀小米、南瓜，干净留白，圆润可爱，适合中国宝宝食谱小程序，无文字，无人物，无品牌，无刀具，1:1方图
recipe_002,山药红枣小米粥,recipe_002.png,卡通手绘宝宝食谱插画，一碗山药红枣小米粥，奶油白背景，柔和暖色调，小碗和小勺，旁边点缀小米、山药、红枣，干净留白，圆润可爱，适合中国宝宝食谱小程序，无文字，无人物，无品牌，无刀具，1:1方图
recipe_003,鸡蛋青菜软面,recipe_003.png,卡通手绘宝宝食谱插画，一碗鸡蛋青菜软面，奶油白背景，柔和暖色调，小碗和小勺，旁边点缀宝宝面、鸡蛋、小青菜，干净留白，圆润可爱，适合中国宝宝食谱小程序，无文字，无人物，无品牌，无刀具，1:1方图
recipe_004,胡萝卜鸡蛋软饼,recipe_004.png,卡通手绘宝宝食谱插画，一份胡萝卜鸡蛋软饼，奶油白背景，柔和暖色调，小碗和小勺，旁边点缀鸡蛋、面粉、胡萝卜，干净留白，圆润可爱，适合中国宝宝食谱小程序，无文字，无人物，无品牌，无刀具，1:1方图
recipe_005,苹果燕麦粥,recipe_005.png,卡通手绘宝宝食谱插画，一碗苹果燕麦粥，奶油白背景，柔和暖色调，小碗和小勺，旁边点缀即食燕麦片、苹果，干净留白，圆润可爱，适合中国宝宝食谱小程序，无文字，无人物，无品牌，无刀具，1:1方图
recipe_006,紫薯米糊粥,recipe_006.png,卡通手绘宝宝食谱插画，一碗紫薯米糊粥，奶油白背景，柔和暖色调，小碗和小勺，旁边点缀大米、紫薯，干净留白，圆润可爱，适合中国宝宝食谱小程序，无文字，无人物，无品牌，无刀具，1:1方图
recipe_007,西兰花蛋黄粥,recipe_007.png,卡通手绘宝宝食谱插画，一碗西兰花蛋黄粥，奶油白背景，柔和暖色调，小碗和小勺，旁边点缀大米、熟蛋黄、西兰花，干净留白，圆润可爱，适合中国宝宝食谱小程序，无文字，无人物，无品牌，无刀具，1:1方图
recipe_008,番茄碎碎面,recipe_008.png,卡通手绘宝宝食谱插画，一碗番茄碎碎面，奶油白背景，柔和暖色调，小碗和小勺，旁边点缀宝宝面、番茄、小青菜，干净留白，圆润可爱，适合中国宝宝食谱小程序，无文字，无人物，无品牌，无刀具，1:1方图
recipe_009,奶香玉米粥,recipe_009.png,卡通手绘宝宝食谱插画，一碗奶香玉米粥，奶油白背景，柔和暖色调，小碗和小勺，旁边点缀大米、鲜玉米粒、配方奶或纯牛奶，干净留白，圆润可爱，适合中国宝宝食谱小程序，无文字，无人物，无品牌，无刀具，1:1方图
recipe_010,土豆胡萝卜软饼,recipe_010.png,卡通手绘宝宝食谱插画，一份土豆胡萝卜软饼，奶油白背景，柔和暖色调，小碗和小勺，旁边点缀土豆、胡萝卜、面粉，干净留白，圆润可爱，适合中国宝宝食谱小程序，无文字，无人物，无品牌，无刀具，1:1方图
recipe_011,香蕉燕麦小饼,recipe_011.png,卡通手绘宝宝食谱插画，一份香蕉燕麦小饼，奶油白背景，柔和暖色调，小碗和小勺，旁边点缀香蕉、即食燕麦片、鸡蛋，干净留白，圆润可爱，适合中国宝宝食谱小程序，无文字，无人物，无品牌，无刀具，1:1方图
